,Date,Close,Volume,Open,High,Low,H-L,O-C,SMA_7,SMA_14,SMA_21,SD_7,SD_21
121,1/5/2023,126.94,25447100,126.13,128.52,124.54,3.980000000000004,-0.8100000000000023,132.28571428571428,135.55785714285713,143.87142857142857,3.744110295482992,16.326843934366064
122,1/4/2023,127.37,32397090,127.38,129.05,125.85,3.200000000000017,0.009999999999990905,130.91285714285715,134.54857142857142,141.05428571428573,3.4891484839193243,13.448416104296044
123,1/3/2023,124.74,35528530,122.82,126.37,122.28,4.090000000000003,-1.9200000000000017,129.20285714285714,133.2342857142857,138.0052380952381,3.0841947316659457,8.400398573310676
124,12/30/2022,120.34,19583830,118.16,120.42,117.74,2.680000000000007,-2.180000000000007,127.41,131.5964285714286,136.4442857142857,4.072845033467995,8.496383096017379
125,12/29/2022,120.26,22366190,116.4,121.03,115.77,5.260000000000005,-3.8599999999999994,125.59142857142858,130.23142857142858,135.07714285714286,4.007577940896291,8.687800148977635
126,12/28/2022,115.62,19612470,116.25,118.15,115.51,2.6400000000000006,0.6299999999999955,123.61285714285714,128.76500000000001,133.58,5.055474637410488,9.212705357277235
127,12/27/2022,116.88,21392310,117.93,118.6,116.05,2.549999999999997,1.0500000000000114,121.7357142857143,127.61214285714287,131.92,4.707461655507295,8.912675243719196
128,12/23/2022,118.04,17796630,116.03,118.18,115.54,2.6400000000000006,-2.010000000000005,120.46428571428571,126.375,130.52666666666667,4.246943438686745,8.671956718834487
129,12/22/2022,117.12,23618120,117.2,118.62,114.38,4.240000000000009,0.0799999999999983,119.0,124.95642857142856,129.3657142857143,3.0742370327137567,8.760928359157562
130,12/21/2022,119.76,20392800,116.7,120.34,115.62,4.719999999999999,-3.0600000000000023,118.28857142857143,123.74571428571429,128.25238095238095,1.8615712769117294,8.401149864609295
131,12/20/2022,117.09,28742500,113.26,117.33,112.46,4.8700000000000045,-3.8299999999999983,117.82428571428572,122.61714285714287,127.00571428571428,1.6589138730115687,7.993805458871995
132,12/19/2022,114.48,29769880,116.83,117.8,114.33,3.469999999999999,2.3499999999999943,116.99857142857142,121.295,125.82047619047619,1.68279953817709,7.913709292228959
133,12/16/2022,119.43,67064000,120.23,123.31,118.82,4.490000000000009,0.7999999999999972,117.54285714285716,120.57785714285716,125.0242857142857,1.776163602496137,7.659512759588045
134,12/15/2022,116.15,34530970,118.33,118.63,114.01,4.61999999999999,2.1799999999999926,117.43857142857144,119.58714285714287,124.22095238095237,1.8417874340856581,7.663654418593361
135,12/14/2022,121.59,36922040,119.39,124.14,119.39,4.75,-2.200000000000003,117.94571428571429,119.20500000000001,123.56523809523812,2.4298618420403226,7.240325696436783
136,12/13/2022,120.15,44701050,122.13,123.3,118.64,4.659999999999997,1.9799999999999898,118.37857142857142,118.68928571428572,122.76380952380954,2.526225303825734,6.5828044754429325
137,12/12/2022,114.71,24747060,115.18,115.72,113.14,2.5799999999999983,0.4700000000000131,117.65714285714286,117.97285714285715,121.71619047619048,2.7748195994512437,5.974890355639311
138,12/9/2022,115.9,26033350,115.3,117.54,113.87,3.6700000000000017,-0.6000000000000085,117.48714285714286,117.6557142857143,120.90714285714284,2.8507701549169795,5.519124154118881
139,12/8/2022,115.33,30619420,116.39,117.34,114.59,2.75,1.0600000000000023,117.60857142857142,117.30357142857143,120.06619047619047,2.7162623128769967,4.896286834113368
140,12/7/2022,113.93,29461140,113.76,115.88,112.88,3.0,-0.1700000000000017,116.82285714285715,117.18285714285716,119.32619047619049,2.8914051617679815,4.567242577520054
141,12/6/2022,114.12,43689180,119.91,120.55,113.74,6.810000000000002,5.789999999999992,116.53285714285714,116.98571428571428,118.56904761904761,3.066630693366655,3.98686832584504
142,12/5/2022,122.43,35474880,121.75,124.67,121.35,3.3200000000000074,-0.6800000000000068,116.65285714285714,117.29928571428572,118.35428571428572,3.3046972341651033,3.61778878796056
143,12/2/2022,123.49,39950460,117.83,124.04,117.61,6.430000000000007,-5.659999999999997,117.13000000000001,117.75428571428573,118.16952380952381,4.050699528061966,3.210478899153865
144,12/1/2022,120.44,36551370,119.2,121.2,118.4,2.799999999999997,-1.2399999999999949,117.94857142857143,117.80285714285716,117.96476190476191,4.059110857362227,2.8917721539712757
145,11/30/2022,118.1,43348560,109.51,118.16,109.38,8.780000000000001,-8.58999999999999,118.26285714285714,117.875,117.85809523809523,3.957969657475768,2.840638342078007
146,11/29/2022,109.46,23899240,109.54,110.94,108.54,2.3999999999999915,0.0800000000000125,117.42428571428572,117.51642857142858,117.34380952380954,5.130941619696794,3.321062294193283
147,11/28/2022,108.78,23332820,110.78,112.04,108.38,3.660000000000011,2.0,116.68857142857144,116.75571428571428,117.01809523809523,6.009493679644647,3.7995297328069224
148,11/25/2022,111.41,12007570,111.3,112.73,111.02,1.710000000000008,-0.10999999999999943,116.30142857142857,116.41714285714286,116.75761904761906,6.283585570279299,3.9920883065917705
149,11/23/2022,112.24,21343080,111.72,112.67,110.73,1.9399999999999977,-0.519999999999996,114.84571428571428,115.7492857142857,116.48142857142858,5.787958353749289,4.098157251393681
150,11/22/2022,111.44,29028960,109.86,111.62,108.32,3.3000000000000114,-1.5799999999999983,113.1242857142857,115.12714285714286,116.21095238095238,4.418423011068069,4.2389254590788505
151,11/21/2022,109.86,24351070,111.52,112.37,109.19,3.180000000000007,1.6599999999999966,111.61285714285714,114.7807142857143,115.73952380952382,3.116615227480617,4.372879458882058
152,11/18/2022,112.05,33357710,113.8,114.32,110.62,3.6999999999999886,1.75,110.74857142857142,114.50571428571428,115.4995238095238,1.3637500818286687,4.432948765992302
153,11/17/2022,111.45,35093820,110.41,112.33,109.8,2.530000000000001,-1.0400000000000063,111.03285714285713,114.22857142857143,115.3552380952381,1.253311803249275,4.516318876085271
154,11/16/2022,113.23,33287770,114.5,116.08,112.66,3.4200000000000017,1.269999999999996,111.66857142857143,114.17857142857143,115.06000000000002,1.0285820105147467,4.438610142827142
155,11/15/2022,117.08,50670500,116.07,118.74,114.41,4.329999999999998,-1.0100000000000051,112.47857142857143,114.39,115.10428571428572,2.271999329303317,4.4546397962454485
156,11/14/2022,114.22,53394970,110.99,116.27,110.8,5.469999999999999,-3.230000000000004,112.76142857142858,113.80357142857143,114.75333333333332,2.358936402778757,4.2012335490116905
157,11/11/2022,113.02,59961740,109.23,114.9,108.81,6.090000000000003,-3.789999999999992,112.98714285714287,113.05571428571429,114.4138095238095,2.285882136688376,4.027821341856271
158,11/10/2022,111.87,80670960,107.12,112.75,104.61,8.14,-4.75,113.27428571428572,112.44357142857142,114.27857142857142,1.9254164670020093,4.0648865737128475
159,11/9/2022,101.47,107677300,101.72,104.9,100.74,4.160000000000011,0.25,111.76285714285713,111.25571428571428,113.59142857142858,4.900590829294373,4.909078615906562
160,11/8/2022,96.47,52088320,95.92,97.8,94.79,3.009999999999991,-0.5499999999999972,109.62285714285714,110.32785714285714,112.69333333333336,7.591784406591357,6.144768777858262
161,11/7/2022,96.72,81987300,94.78,96.88,93.1,3.780000000000001,-1.9399999999999977,107.26428571428572,109.46642857142857,111.87380952380951,8.759217729801442,7.052225518367468
162,11/4/2022,90.79,55638060,90.35,91.39,88.09,3.299999999999997,-0.44000000000001194,103.50857142857141,107.99357142857141,110.76285714285714,9.457444032032091,8.391188320409702
163,11/3/2022,88.91,60664010,90.08,90.46,88.41,2.049999999999997,1.1700000000000017,99.89285714285714,106.32714285714287,109.16666666666667,9.51778460617253,9.209130433072517
164,11/2/2022,90.54,71821060,94.21,95.2,90.48,4.719999999999999,3.6699999999999875,96.68142857142857,104.83428571428571,107.59761904761906,8.025900631851306,9.450545965584658
165,11/1/2022,95.2,110189600,94.33,97.49,93.55,3.9399999999999977,-0.8700000000000045,94.3,103.78714285714285,106.39571428571428,4.4402327266300246,9.339953196579486
166,10/31/2022,93.16,121361400,98.22,99.32,92.6,6.719999999999999,5.060000000000002,93.11285714285715,102.43785714285714,105.20809523809524,3.117679234541802,9.362876491254495
167,10/28/2022,99.2,95928310,99.58,100.85,97.51,3.339999999999989,0.37999999999999545,93.50285714285714,101.56285714285714,104.71952380952382,3.7201644868867367,9.397539292916775
168,10/27/2022,97.94,232316600,97.98,102.5,96.38,6.1200000000000045,0.04000000000000625,93.67714285714285,100.47071428571428,104.20333333333335,3.9192546667480834,9.460850560776414
169,10/26/2022,129.82,89294680,131.68,135.55,128.53,7.02000000000001,1.8600000000000136,99.25285714285714,101.38071428571428,105.08,13.979233067047273,10.904797109529818
170,10/25/2022,137.51,38433220,130.88,138.35,130.59,7.759999999999991,-6.6299999999999955,106.19571428571427,103.0442857142857,106.28333333333335,19.112496659813992,12.938939420730858
171,10/24/2022,129.72,63563450,127.25,133.48,124.57,8.909999999999997,-2.469999999999999,111.79285714285713,104.23714285714286,107.15380952380953,19.496665282627976,13.883617855656869
172,10/21/2022,130.01,46348650,126.31,130.12,125.44,4.680000000000007,-3.6999999999999886,116.76571428571427,105.53285714285714,108.11333333333334,18.991910433253867,14.749312639351796
173,10/20/2022,131.53,26356280,132.93,136.77,131.31,5.460000000000008,1.4000000000000057,122.24714285714286,107.67999999999999,109.04095238095239,16.404206487244885,15.597463545321341
174,10/19/2022,133.23,30691050,132.89,137.0,132.22,4.780000000000001,-0.3400000000000034,127.10857142857141,110.30571428571429,110.07809523809523,13.156784597779163,16.46562316435321
175,10/18/2022,132.8,25444980,137.09,137.84,131.4,6.439999999999998,4.289999999999992,132.08857142857144,112.88285714285713,111.01,2.786571540865298,17.190764962618992
176,10/17/2022,134.04,29612250,130.3,134.79,130.18,4.609999999999985,-3.7399999999999807,132.69142857142856,115.97214285714287,111.81761904761905,2.6679419569574407,17.874964029268078
177,10/14/2022,126.76,23559410,131.0,131.79,126.52,5.269999999999996,4.239999999999995,131.15571428571428,118.67571428571429,112.4147619047619,2.52196257666017,18.166317628800964
178,10/13/2022,130.29,34325720,123.53,131.14,122.53,8.609999999999985,-6.759999999999991,131.23714285714286,121.515,113.23714285714286,2.4766759597296937,18.58125026548482
179,10/12/2022,127.5,34605250,128.32,129.67,126.25,3.4199999999999875,0.8199999999999932,130.87857142857143,123.82214285714285,113.98142857142855,2.8391279680610944,18.835052504762256
180,10/11/2022,128.54,38481400,131.62,132.66,126.99,5.670000000000002,3.0800000000000125,130.45142857142858,126.34928571428573,115.27047619047619,2.9476342410527487,18.862271463477366
